h1,h2,h3,h4,h5,h6,h7,h8,h9,h10
12.03,18.581,15.664,18.991,17.093,16.884,17.972,11.532,17.296,17.447
18.581,15.664,18.991,17.093,16.884,17.972,11.532,17.296,17.447,17.875
15.664,18.991,17.093,16.884,17.972,11.532,17.296,17.447,17.875,16.035
18.991,17.093,16.884,17.972,11.532,17.296,17.447,17.875,16.035,16
17.093,16.884,17.972,11.532,17.296,17.447,17.875,16.035,16,16.81
16.884,17.972,11.532,17.296,17.447,17.875,16.035,16,16.81,21.174
17.972,11.532,17.296,17.447,17.875,16.035,16,16.81,21.174,22.204
11.532,17.296,17.447,17.875,16.035,16,16.81,21.174,22.204,25.028
17.296,17.447,17.875,16.035,16,16.81,21.174,22.204,25.028,25.583
17.447,17.875,16.035,16,16.81,21.174,22.204,25.028,25.583,23.743
17.875,16.035,16,16.81,21.174,22.204,25.028,25.583,23.743,24.322
16.035,16,16.81,21.174,22.204,25.028,25.583,23.743,24.322,30.769
16,16.81,21.174,22.204,25.028,25.583,23.743,24.322,30.769,45.028
16.81,21.174,22.204,25.028,25.583,23.743,24.322,30.769,45.028,44.449
